indexID,exchangeCD,tradeDate,preCloseIndex,openIndex,lowestIndex,highestIndex,closeIndex,turnoverVol,turnoverValue,CHG,CHGPct
000001.ZICN,XSHG,1/23/95,571.24,564.86,553.11,565.04,553.44,37217700,198999645,-17.8,-0.03116
000001.ZICN,XSHG,1/24/95,553.44,552.78,547.38,559.34,547.57,39115000,248520984,-5.87,-0.010606
000001.ZICN,XSHG,1/25/95,547.57,550.27,550.27,558.58,555.77,37848000,241254095,8.2,0.014975
000001.ZICN,XSHG,1/26/95,555.77,553.91,551.14,555.26,553.11,32339100,182835350,-2.66,-0.004786
000001.ZICN,XSHG,1/27/95,553.11,552.95,552.93,564.61,562.59,55862700,229763769,9.48,0.017139
000001.ZICN,XSHG,2/6/95,562.59,559.78,532.91,559.84,533.72,30000000,169662335,-28.87,-0.051316
000001.ZICN,XSHG,2/7/95,533.72,532.11,524.43,536.63,532.49,27000000,130252915,-1.23,-0.002305
000001.ZICN,XSHG,2/8/95,532.49,533.09,531.22,537.55,533.75,27000000,114005658,1.26,0.002366
000001.ZICN,XSHG,2/9/95,533.75,533.79,533.14,553.36,553.36,59000000,250480339,19.61,0.03674
000001.ZICN,XSHG,2/10/95,553.36,548.77,540.63,558.95,541.38,63000000,323813941,-11.98,-0.02165
000001.ZICN,XSHG,2/13/95,541.38,537.95,537.05,550.25,548.84,43559200,197023634,7.46,0.01378
000001.ZICN,XSHG,2/14/95,548.84,549.76,542.18,552.85,548.11,33478100,150595187,-0.73,-0.00133
000001.ZICN,XSHG,2/15/95,548.11,547.83,542.5,548.59,542.84,23211600,113982871,-5.27,-0.009615
000001.ZICN,XSHG,2/16/95,542.84,542.26,537.21,542.82,538.37,32218100,136403093,-4.47,-0.008234
000001.ZICN,XSHG,2/17/95,538.37,537.87,532.67,537.91,533.76,38568700,198382092,-4.61,-0.008563
000001.ZICN,XSHG,2/20/95,533.76,534.57,534.51,540.86,534.96,25310500,126293822,1.2,0.002248
000001.ZICN,XSHG,2/21/95,534.96,536.07,535.97,541.14,541.14,26340100,117103815,6.18,0.011552
000001.ZICN,XSHG,2/22/95,541.14,541.21,541.21,594.81,594.64,144003300,965163923,53.5,0.098865
000001.ZICN,XSHG,2/23/95,594.64,583.43,573.4,608.58,589.12,192289200,1336615281,-5.52,-0.009283
000001.ZICN,XSHG,2/24/95,589.12,591.91,555.2,594.92,558.43,124565300,879248015,-30.69,-0.052095
000001.ZICN,XSHG,2/27/95,558.43,584.02,559.04,591.43,561.27,99764500,740045938,2.84,0.005086
000001.ZICN,XSHG,2/28/95,561.27,558.42,544.06,558.42,549.26,49528500,339832284,-12.01,-0.021398
000001.ZICN,XSHG,3/1/95,549.26,548.91,545.72,559.48,556.96,40751600,298096939,7.7,0.014019
000001.ZICN,XSHG,3/2/95,556.96,557.5,553.52,564.64,560.85,46652700,364958034,3.89,0.006984
000001.ZICN,XSHG,3/3/95,560.85,562.3,562.3,580.39,577.22,106918400,881804371,16.37,0.029188
000001.ZICN,XSHG,3/6/95,577.22,585.24,582.55,616.76,616.3,203140700,1582629806,39.08,0.067704
000001.ZICN,XSHG,3/7/95,616.3,614.73,597.2,635.24,632.96,321071000,2513778961,16.66,0.027032
000001.ZICN,XSHG,3/8/95,632.96,632.95,616.77,639.01,620.8,305092400,2153387441,-12.16,-0.019211
000001.ZICN,XSHG,3/9/95,620.8,617.22,604.79,624.25,605.59,162393900,1329628203,-15.21,-0.024501
000001.ZICN,XSHG,3/10/95,605.59,600.45,583.72,600.51,586.29,125051700,928328297,-19.3,-0.03187
000001.ZICN,XSHG,3/13/95,586.29,596.65,583.38,597.18,586.23,71822100,559204935,-0.06,-0.000102
000001.ZICN,XSHG,3/14/95,586.23,588.18,586.19,599.9,588.24,71949500,589109192,2.01,0.003429
000001.ZICN,XSHG,3/15/95,588.24,588.78,568.6,591.49,572.6,66866300,495072031,-15.64,-0.026588
000001.ZICN,XSHG,3/16/95,572.6,570.51,569.17,579.88,579.88,48940300,359636769,7.28,0.012714
000001.ZICN,XSHG,3/17/95,579.88,579.62,577.91,593.97,593.52,79819600,624726622,13.64,0.023522
000001.ZICN,XSHG,3/20/95,593.52,597.85,585.15,604.96,585.45,108432300,895130922,-8.07,-0.013597
000001.ZICN,XSHG,3/21/95,585.45,581.8,581.33,593.16,591.95,60310200,406662154,6.5,0.011103
000001.ZICN,XSHG,3/22/95,591.95,595.32,594.41,613.76,613.7,134616500,1026332448,21.75,0.036743
000001.ZICN,XSHG,3/23/95,613.7,617.54,609.16,620.34,611.13,190779600,1375902807,-2.57,-0.004188
000001.ZICN,XSHG,3/24/95,611.13,609.9,600.56,613.59,611.77,97954500,735834162,0.64,0.001047
000001.ZICN,XSHG,3/27/95,611.77,618.47,618.47,631.7,629.36,171900100,1494080321,17.59,0.028753
000001.ZICN,XSHG,3/28/95,629.36,625.57,624.39,631.83,626.55,124665600,1025805301,-2.81,-0.004465
000001.ZICN,XSHG,3/29/95,626.55,624.84,615.44,637.35,637.15,103042500,851693487,10.6,0.016918
000001.ZICN,XSHG,3/30/95,637.15,641.36,630.05,645.32,630.93,168492900,1648678701,-6.22,-0.009762
000001.ZICN,XSHG,3/31/95,630.93,629.93,627.23,648.04,646.92,126596300,1200773770,15.99,0.025344
000001.ZICN,XSHG,4/3/95,646.92,651.04,647.43,660.61,656.88,211416000,1923283602,9.96,0.015396
000001.ZICN,XSHG,4/4/95,656.88,652.43,650.82,660.79,660.16,152095300,1327597570,3.28,0.004993
000001.ZICN,XSHG,4/5/95,660.16,658.44,649.3,664.95,649.7,140374100,1392631838,-10.46,-0.015845
000001.ZICN,XSHG,4/6/95,649.7,645.14,641.83,659.09,659.06,186029200,1216249173,9.36,0.014407
000001.ZICN,XSHG,4/7/95,659.06,663.45,662.74,677.66,673.72,344107800,2200458759,14.66,0.022244
000001.ZICN,XSHG,4/10/95,673.72,678.74,665.11,681.15,667.39,264618100,1445067311,-6.33,-0.009396
000001.ZICN,XSHG,4/11/95,667.39,661.01,640.35,665.04,641.08,354151500,1849245471,-26.31,-0.039422
000001.ZICN,XSHG,4/12/95,641.08,633.82,632.77,649.21,644.74,161981200,1013378361,3.66,0.005709
000001.ZICN,XSHG,4/13/95,644.74,647.21,632.41,651.02,632.76,143620300,1061729593,-11.98,-0.018581
000001.ZICN,XSHG,4/14/95,632.76,630.72,627.04,640.56,640.04,102212500,715864736,7.28,0.011505
000001.ZICN,XSHG,4/17/95,640.04,640.17,628.44,642.82,631.26,68672900,518489863,-8.78,-0.013718
000001.ZICN,XSHG,4/18/95,631.26,629.87,625.13,634.15,625.52,57637400,429679017,-5.74,-0.009093
000001.ZICN,XSHG,4/19/95,625.52,625.24,625.11,631.59,631.51,70813000,550694152,5.99,0.009576
000001.ZICN,XSHG,4/20/95,631.51,634.04,634.04,645.35,645.2,109239900,803734321,13.69,0.021678
000001.ZICN,XSHG,4/21/95,645.2,646.9,635.73,649.22,635.99,134057300,801441684,-9.21,-0.014275
000001.ZICN,XSHG,4/24/95,635.99,627.39,618.13,630.26,619.73,97712300,697946198,-16.26,-0.025566
000001.ZICN,XSHG,4/25/95,619.73,617.01,615.35,621.55,619.84,61098500,429311915,0.11,0.000177
000001.ZICN,XSHG,4/26/95,619.84,621.12,601.81,622.94,601.83,94140900,615114137,-18.01,-0.029056
000001.ZICN,XSHG,4/27/95,601.83,579.64,547.21,598.62,573.31,190599600,1236587164,-28.52,-0.047389
000001.ZICN,XSHG,4/28/95,573.31,577.43,572.32,582.02,579.93,93814400,582196883,6.62,0.011547
000001.ZICN,XSHG,5/2/95,579.93,576.69,574.9,580.28,579.04,80734300,332845253,-0.89,-0.001535
000001.ZICN,XSHG,5/3/95,579.04,580.79,580.13,586.25,580.38,48247200,317230952,1.34,0.002314
000001.ZICN,XSHG,5/4/95,580.38,579.51,567.93,580.46,571.2,48050600,287306561,-9.18,-0.015817
000001.ZICN,XSHG,5/5/95,571.2,569.53,569.53,577.45,574.17,41884500,250452789,2.97,0.0052
000001.ZICN,XSHG,5/8/95,574.17,573.12,568.7,575.1,571.51,30023900,191498628,-2.66,-0.004633
000001.ZICN,XSHG,5/9/95,571.51,572.1,572.1,579.57,578.5,36364800,243264083,6.99,0.012231
000001.ZICN,XSHG,5/10/95,578.5,577.76,564.86,580.75,565.14,54807700,331914301,-13.36,-0.023094
000001.ZICN,XSHG,5/11/95,565.14,568.75,566.42,572.34,568.06,34902400,192221251,2.92,0.005167
000001.ZICN,XSHG,5/12/95,568.06,569.35,567.89,593.5,584.84,10644500,775368489,16.78,0.029539
000001.ZICN,XSHG,5/15/95,584.84,583.19,578.6,583.4,582.04,41069500,304101691,-2.8,-0.004788
